,focos,municipio
ATALAIA DO NORTE,3,ATALAIA DO NORTE
ARAPUTANGA,3,ARAPUTANGA
TRAIRAO,3,TRAIRAO
VALE DE SAO DOMINGOS,3,VALE DE SAO DOMINGOS
TARTARUGALZINHO,3,TARTARUGALZINHO
PIO XII,3,PIO XII
CODAJAS,3,CODAJAS
BAIAO,2,BAIAO
NOVA MARILANDIA,2,NOVA MARILANDIA
PICARRA,2,PICARRA
OIAPOQUE,2,OIAPOQUE
NOVA MONTE VERDE,2,NOVA MONTE VERDE
CACHOEIRA DO PIRIA,2,CACHOEIRA DO PIRIA
CAMETA,2,CAMETA
BREVES,2,BREVES
CURIONOPOLIS,2,CURIONOPOLIS
TAPAUA,2,TAPAUA
PARAUAPEBAS,2,PARAUAPEBAS
NOVA OLINDA DO MARANHAO,2,NOVA OLINDA DO MARANHAO
DIAMANTINO,2,DIAMANTINO
ARAGUANA,2,ARAGUANA
CONCEICAO DO LAGO-ACU,2,CONCEICAO DO LAGO-ACU
CAMPO NOVO DE RONDONIA,2,CAMPO NOVO DE RONDONIA
BACABAL,2,BACABAL
SERINGUEIRAS,2,SERINGUEIRAS
GODOFREDO VIANA,2,GODOFREDO VIANA
TURILANDIA,2,TURILANDIA
MAGALHAES BARATA,2,MAGALHAES BARATA
SAO CAETANO DE ODIVELAS,2,SAO CAETANO DE ODIVELAS
MACAPA,2,MACAPA
AURORA DO PARA,2,AURORA DO PARA
CASTANHEIRAS,2,CASTANHEIRAS
SAO JOAO DO ARAGUAIA,2,SAO JOAO DO ARAGUAIA
JI-PARANA,2,JI-PARANA
NOVA IPIXUNA,2,NOVA IPIXUNA
CARLINDA,2,CARLINDA
BELEM,2,BELEM
JURUA,2,JURUA
PRACUUBA,2,PRACUUBA
SANTA LUZIA DO PARUA,2,SANTA LUZIA DO PARUA
COLMEIA,2,COLMEIA
BREJO DE AREIA,2,BREJO DE AREIA
CAPIXABA,2,CAPIXABA
TOME-ACU,2,TOME-ACU
OUREM,2,OUREM
BONITO,2,BONITO
SENADOR GUIOMARD,2,SENADOR GUIOMARD
SANTA LUZIA,1,SANTA LUZIA
LAGO DA PEDRA,1,LAGO DA PEDRA
CORUMBIARA,1,CORUMBIARA
PEDRO DO ROSARIO,1,PEDRO DO ROSARIO
ALCANTARA,1,ALCANTARA
ALTO PARAGUAI,1,ALTO PARAGUAI
CACAULANDIA,1,CACAULANDIA
MANOEL URBANO,1,MANOEL URBANO
CURVELANDIA,1,CURVELANDIA
JACAREACANGA,1,JACAREACANGA
MAZAGAO,1,MAZAGAO
PAUINI,1,PAUINI
NOVA OLINDA,1,NOVA OLINDA
ACRELANDIA,1,ACRELANDIA
ITAMARATI,1,ITAMARATI
CASTANHEIRA,1,CASTANHEIRA
PLACIDO DE CASTRO,1,PLACIDO DE CASTRO
MARAPANIM,1,MARAPANIM
SERRA DO NAVIO,1,SERRA DO NAVIO
RONDOLANDIA,1,RONDOLANDIA
CARUTAPERA,1,CARUTAPERA
CONQUISTA D'OESTE,1,CONQUISTA D'OESTE
SAO JOAO DA PONTA,1,SAO JOAO DA PONTA
PENALVA,1,PENALVA
VITORIA DO JARI,1,VITORIA DO JARI
SANTA FE DO ARAGUAIA,1,SANTA FE DO ARAGUAIA
AUGUSTO CORREA,1,AUGUSTO CORREA
PRESIDENTE SARNEY,1,PRESIDENTE SARNEY
GOVERNADOR NUNES FREIRE,1,GOVERNADOR NUNES FREIRE
MAE DO RIO,1,MAE DO RIO
